des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
SOMMA GOAL FINALE;4;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;STARCASINO;CALCIO | ITALIA - I DIVISIONE | Inter - Monza | SOMMA GOAL FINALE | 4
SOMMA GOL CASA;3 o più;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;SPORTBET, STANLEYBET;CALCIO | AUSTRIA - COPPA | FC Dornbirn 1913 - Ried | SOMMA GOL CASA | 3 o più
SQUADRA X SEGNA ENTRAMBI I TEMPI;SI;;;;NON_MAPPATO;famiglia non riconosciuta;5;2;BBET, TOTOSI;CALCIO | REP. CECA - II DIVISIONE | Dukla Prague - FK Arsenal Ceska Lipa | SQUADRA X SEGNA ENTRAMBI I TEMPI | SI
T/T 1° SET+U/O 1° SET;1 + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;STANLEYBET;TENNIS | CHALLENGER DI ITALIA | Ferro, Fiona - Hodzic, Mina | T/T 1° SET+U/O 1° SET | 1 + OVER
T/T 1° SET+U/O 1° SET;2 + OVER;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;STANLEYBET;TENNIS | CHALLENGER DI ITALIA | Ibragimova, Alevtina - Burel, Clara | T/T 1° SET+U/O 1° SET | 2 + OVER
T/T HAND ANGOLI;2;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;TOTOSI;CALCIO | USA - I DIVISIONE | Los Angeles - Sporting Kansas City | T/T HAND ANGOLI | 2
T/T HANDICAP PUNTI;1;;;;NON_MAPPATO;famiglia non riconosciuta;5;3;ADMIRAL, STANLEYBET;BASKET | CINA - I DIVISIONE F. | HEBEI - JIANGSU PHOENIX | T/T HANDICAP PUNTI | 1
T/T INFO1° SET (ESCLUSO RITIRO);1;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL;TENNIS | TORNEO DI ESTORIL | Faria, Jaime - Darderi, Luciano | T/T INFO1° SET (ESCLUSO RITIRO) | 1
T/T SET INFO1 - GAME INFO2;1;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;MARATHON, WILLIAMHILL;TENNIS | ITF ITALIA | Mia Ristic - Turini Viola | T/T SET INFO1 - GAME INFO2 | 1
TOT. ANGOLI SQUADRA 1;>6;;;;NON_MAPPATO;famiglia non riconosciuta;5;1;ADMIRAL;CALCIO | POLONIA - I DIVISIONE | RKS Radomiak Radom - Wieczysta Krakow | TOT. ANGOLI SQUADRA 1 | >6
