concessionario;nome_commerciale;payout_medio;payout_mediana;payout_p90;payout_p95;payout_p99;payout_massimo_osservato;ticket_vincenti_medio;ticket_vincenti_massimo;ticket_esclusi_compatibilita;num_ticket_compat;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;ticket_esclusi_montecarlo;importo_pagato_totale_compat;payout_potenziale_totale_compat;pct_incompatibili;pct_non_mappati;pct_correlati_misti;tail_ratio_p99_medio;tail_spread_p99_p95;tail_spread_p95_mediana;max_ratio_payout_medio;ticket_win_ratio_max_medio;compat_risk_score;cluster;cluster_label;risk_score_montecarlo;risk_score_commerciale
BBET;WWW.SPORTBULL.IT;16488,75595;15345,395;24827,813;29405,7815;38891,8838;59035,14;50,697;88;0;522;54;0;0;468;0;0;4794,2;685831,97;0,0;89,6552;0,0;2,3586912146637724;9486,102300000002;14060,3865;3,5803271137626367;1,73580290746987;4406,552;0;SAFE;35391,09601646638;39797,64801646638
ADMIRAL;URGNANO ROMA;21607,44125;23489,300000000003;36695,073;38595,446;44841,048200000005;50801,05;8,196;19;0;71;17;0;0;54;0;0;3311,65;104164,69;0,0;76,0563;0,0;2,075259521994535;6245,602200000001;15106,146;2,3510905068410173;2,318204001952172;1165,5629999999999;0;SAFE;38048,01673219945;39213,579732199454
ADMIRAL;BOLOGNA CARRACCI;15093,09058;14137,38;20549,583;23366,8675;32738,1904;81858,58;27,061;50;0;271;26;0;0;245;0;0;7657,2;624263,76;0,0;90,4059;0,0;2,1690846037445564;9371,3229;9229,487500000001;5,423579721205119;1,847677469420938;2741,559;0;SAFE;35775,617495374456;38517,17649537446
ADMIRAL;CASTELLETTO SOPRA TICINO SEMPIONE;10104,02938;5745,495;18812,112;27325,590499999995;42599,0457;48643,25;11,219;25;0;115;4;0;0;111;0;0;1469,4;481161,19;0,0;96,5217;0,0;4,216045312013929;15273,455200000008;21580,095499999996;4,814242731348828;2,2283625991621356;1797,717;0;SAFE;34146,2704362014;35943,987436201394
ADMIRAL;PINETO NAZIONALE NORD;827,0523199999999;296,24;296,24;903,96;46621,66;46690,88;1,647;4;0;6;0;0;0;6;0;0;26,0;90549,25;0,0;100,0;0,0;56,37087143410711;45717,700000000004;607,72;56,454566260088605;2,428658166363084;1045,0;0;SAFE;33869,91714341071;34914,91714341071
ADMIRAL;LAVAGNA BATTISTI;12369,36848;11318,025;16427,118;18210,453;44251,0777;51216,74;25,714;40;0;141;15;0;0;126;0;0;2205,1;257857,06;0,0;89,3617;0,0;3,577472671426149;26040,6247;6892,428000000002;4,140610741996426;1,555572839698219;1838,617;0;SAFE;33054,13959714262;34892,756597142616
ADMIRAL;SAVONA SERVETTAZ;9232,49069;9562,05;15025,337;18574,341;36507,75199999999;49545,98;12,91;28;0;131;25;0;0;106;0;0;1524,35;254127,01;0,0;80,916;0,0;3,9542690294334855;17933,410999999993;9012,291000000001;5,366480364141045;2,168861347792409;1604,1599999999999;0;SAFE;29691,30895294335;31295,46895294335
ADMIRAL;CASALE CORTE CERRO NOVARA;7849,3702;7008,99;11096,408;13391,729;21581,554999999997;71012,83;21,684;40;0;202;4;0;1;197;0;0;2972,3;416610,5;0,0;97,5248;0,495;2,7494632626704236;8189,825999999997;6382,739;9,046946212321595;1,8446781036709092;3965,123;0;SAFE;26658,066576267043;30623,189576267043
BBET;WWW.DNGAMES.IT;4578,270759999999;2889,035;8414,971;19972,8735;27737,5016;51478,43;16,921;36;0;161;9;0;0;152;0;0;1471,55;239683,32;0,0;94,4099;0,0;6,0585105281104;7764,628099999998;17083,8385;11,24407722884437;2,1275338336977723;2084,099;0;SAFE;27169,756067811042;29253,85506781104
ADMIRAL;TRENTO MACCANI;3791,56221;1835,09;8953,366999999998;18353,009999999995;31836,263499999997;44357,42;7,829;18;0;86;7;0;0;79;0;0;717,2;383429,35;0,0;91,8605;0,0;8,396608505073162;13483,253500000003;16517,919999999995;11,69898251517809;2,2991442074338995;1511,105;0;SAFE;27123,902750507314;28635,007750507313
ADMIRAL;LISSONE DE AMICIS;6215,10905;5302,035;10049,138;11868,881499999998;31750,00539999999;39547,12;15,176;37;0;114;2;0;0;112;0;0;1925,7;185661,92;0,0;98,2456;0,0;5,108519439413535;19881,12389999999;6566,846499999998;6,363061320702008;2,438060094886663;1822,456;0;SAFE;24272,49847894135;26094,95447894135
ADMIRAL;FUCECCHIO DANTE;9927,35126;9269,19;15521,04;17806,617499999997;21278,264399999996;40350,68;54,983;97;0;452;47;0;0;405;0;0;4590,95;558512,94;0,0;89,6018;0,0;2,143397956082799;3471,6468999999997;8537,427499999996;4,064596783492881;1,7641816561482642;3933,518;0;SAFE;21732,43593060828;25665,95393060828
ADMIRAL;PERO CURIEL;9054,79337;4976,155;22686,877;24466,964;27206,1758;31065,47;13,454;32;0;103;7;0;0;96;0;0;4319,25;118573,55;0,0;93,2039;0,0;3,0046158634760767;2739,211800000001;19490,809;3,430831464683109;2,3784748030325553;1652,039;0;SAFE;23672,76690634761;25324,80590634761
BBET;WWW.MINNIEBET.EU;1749,39607;948,27;2723,274;3516,913999999999;31512,0027;39891,55;8,963;21;0;106;8;0;0;98;0;0;849,25;123501,4;0,0;92,4528;0,0;18,013075049379754;27995,0887;2568,643999999999;22,80304082311103;2,3429655249358476;1659,528;0;SAFE;23368,647084937977;25028,175084937975
ADMIRAL;POGGIBONSI TRENTO;7515,23993;7025,094999999999;11535,371;13385,433499999996;17286,461499999998;55318,170000000006;36,946;74;0;303;36;0;0;267;0;0;3037,2;423679,2;0,0;88,1188;0,0;2,3001875736520896;3901,028000000002;6360,338499999996;7,360798925284612;2,002923185189195;2883,688;0;SAFE;21924,595732365207;24808,283732365206
ADMIRAL;TERNI CHIESA;2934,03946;1897,4;5478,432;7475,428999999994;28725,7969;42022,21;10,776;23;0;129;10;0;0;119;0;0;1014,0;484381,44;0,0;92,2481;0,0;9,790528481849389;21250,36790000001;5578,028999999993;14,322305672058002;2,1343726800296956;1814,981;0;SAFE;22857,67085818494;24672,65185818494
ADMIRAL;MARIGLIANO SAN FRANCESCO;3046,70154;2668,85;4164,6900000000005;4593,953999999993;10460,86;87107,61;4,152;10;0;23;1;0;0;22;0;0;692,0;111161,19;0,0;95,6522;0,0;3,4335033683673526;5866,906000000007;1925,1039999999934;28,590791994676316;2,4084778420038533;1121,522;0;SAFE;23147,704836836736;24269,226836836737
ADMIRAL;ASTI PETRARCA;5447,63051;3350,09;13943,63;17602,8455;24189,4736;37011,91;10,886;53;0;114;3;0;0;111;0;0;2396,1;207672,58;0,0;97,3684;0,0;4,440366055589919;6586,628100000002;14252,7555;6,794130022595825;4,868638618408966;1806,184;0;SAFE;22187,919420558992;23994,103420558993
ADMIRAL;VICENZA CRISPI;5963,18921;5439,45;9388,250000000002;10859,3375;24944,1948;29574,17;17,317;45;0;197;25;0;0;172;0;0;1500,1;393295,6;0,0;87,3096;0,0;4,183029235122996;14084,857300000001;5419,8875;4,9594552442517585;2,598602529306462;2163,096;0;SAFE;19250,649218512302;21413,745218512304
ADMIRAL;PARMA LEPIDO;8477,654309999998;7171,16;15112,875000000002;17214,402000000002;21914,072900000003;27992,77;7,014;14;0;49;1;0;0;48;0;0;3609,9;71068,39;0,0;97,9592;0,0;2,5849217364466948;4699,670900000001;10043,242000000002;3,3019475643139318;1,996007984031936;1339,592;0;SAFE;18996,27583364467;20335,867833644672
ADMIRAL;TRENTOLA DUCENTA UNITA'' D''ITALIA;4666,48157;3611,615;8126,835000000003;18468,202;21655,0806;23826,3;8,011;18;0;72;8;0;0;64;0;0;2423,35;71181,19;0,0;88,8889;0,0;4,640558475408272;3186,8786;14856,587000000001;5,105838230065055;2,2469104980651604;1368,8890000000001;0;SAFE;18598,39858754083;19967,287587540828
ADMIRAL;BRA VERDI;5383,55238;4830,5650000000005;8462,775;10221,371;15067,876299999998;41347,11;33,037;62;0;209;11;0;0;198;0;0;2344,8;258100,37;0,0;94,7368;0,0;2,7988724240851535;4846,505299999999;5390,805999999999;7,6802652006517675;1,8766837182552896;2432,368;0;SAFE;17441,802512408514;19874,170512408513
ADMIRAL;ROVERETO TRENTO;2437,87691;1288,8000000000002;4248,666;10945,933499999994;17600,1838;33511,65;37,202;57;0;174;12;0;0;162;0;0;1029,95;301141,53;0,0;93,1034;0,0;7,2194718805552816;6654,250300000005;9657,133499999993;13,746243652637903;1,5321756894790604;2146,0339999999997;0;SAFE;17485,834083055528;19631,868083055528
ADMIRAL;ROMA MASSAIA;12255,71341;12139,73;15176,032;16519,9945;19548,2119;27627,2;15,014;24;0;69;13;0;0;56;0;0;7492,95;60386,44;0,0;81,1594;0,0;1,595028477416069;3028,2173999999977;4380,264500000001;2,254230257820626;1,5985080591447982;1231,594;0;SAFE;17754,226232741603;18985,820232741604
ADMIRAL;VITERBO FALCONE E BORSELLINO;2128,3277000000003;395,92;10765,384;11068,583;12229,3425;47961,54;4,423;11;0;26;2;0;0;24;0;0;1455,4499999999998;71715,7;0,0;92,3077;0,0;5,745986626025681;1160,7595000000001;10672,663;22,534847429744957;2,4869997739091114;1103,077;0;SAFE;17880,78941260257;18983,866412602572
ADMIRAL;SAN GIOVANNI TEATINO SALARA;14683,73991;14953,445;17759,51;18431,0;18836,1851;19709,51;29,969;37;0;42;1;0;0;41;0;0;9741,0;23083,67;0,0;97,619;0,0;1,2827920690131591;405,1850999999988;3477,5550000000003;1,3422677138660921;1,2346090960659348;1283,69;0;SAFE;16397,40524690132;17681,095246901317
ADMIRAL;VIGONZA VENEZIA;3105,82634;2786,375;5120,439;5959,422999999999;8592,410199999998;53217,06;13,907;24;0;80;14;0;0;66;0;0;794,6;282718,47;0,0;82,5;0,0;2,7665456015161487;2632,9871999999996;3173,047999999999;17,134589695056807;1,7257496224922702;1320,0;0;SAFE;15966,886390151616;17286,886390151616
BBET;WWW.SKILLJOY.EU;1713,97924;614,935;1800,4030000000002;14795,847999999998;15772,6719;21857,84;12,407;30;0;70;3;0;0;67;0;0;242,3;59722,91;0,0;95,7143;0,0;9,20237044411343;976,8239000000012;14180,912999999999;12,752686549459025;2,4179898444426535;1459,643;0;SAFE;15449,835804411345;16909,478804411345
ADMIRAL;ROVIGO EINAUDI;5291,330599999999;4621,360000000001;8827,799000000003;10330,411999999997;15553,9159;24546,98;26,67;47;0;193;35;0;0;158;0;0;1963,1;304484,77;0,0;81,8653;0,0;2,9395093740693508;5223,503900000003;5709,051999999996;4,639093992728408;1,7622797150356204;2003,653;0;SAFE;14242,516297406935;16246,169297406936
ADMIRAL;ANCONA MONTEBELLO;6615,54399;5523,695;11606,84;13282,232999999998;16206,791699999998;23004,95;13,21;23;0;67;6;0;0;61;0;0;2300,75;121942,17;0,0;91,0448;0,0;2,4498048421260665;2924,5586999999996;7758,537999999999;3,477408665829157;1,7411052233156699;1367,9479999999999;0;SAFE;14764,245414212608;16132,193414212608
ADMIRAL;MILANO LOMAZZO;5461,74093;5160,0;10654,61;12548,25;16044,7174;22309,54;6,574;19;0;29;1;0;0;28;0;0;3462,0;42513,61;0,0;96,5517;0,0;2,937656253864095;3496,4673999999995;7388,25;4,084693925605146;2,8901734104046244;1175,5169999999998;0;SAFE;14405,623085386409;15581,140085386409
ADMIRAL;CHIARAVALLE MATTEOTTI;4827,27108;3516,99;9175,969;10516,1285;15182,7908;19561,79;19,251;46;0;113;3;0;0;110;0;0;2287,0;93164,0;0,0;97,3451;0,0;3,145211973469698;4666,6623;6999,138500000001;4,052349593758468;2,389486260454002;1798,451;0;SAFE;13159,027642346971;14957,47864234697
ADMIRAL;CAMPOFRANCO GRANDE;655,84249;135,52;1804,068000000001;2161,6800000000003;5445,086299999998;47174,09;1,818;10;0;30;4;0;0;26;0;0;223,8;109810,16;0,0;86,6667;0,0;8,302429902033335;3283,406299999998;2026,1600000000003;71,92899319469221;5,5005500550055;1061,667;0;SAFE;13033,515510203331;14095,18251020333
ADMIRAL;VICENZA PADANA SUPERIORE;4817,45592;5066,235000000001;9973,619;11127,032;13940,0506;18359,66;7,734;24;0;75;5;0;0;70;0;0;752,0;106932,19;0,0;93,3333;0,0;2,8936540015087466;2813,0186000000012;6060,796999999999;3,811069640259417;3,1031807602792862;1458,333;0;SAFE;12439,075640150875;13897,408640150876
ADMIRAL;VALMONTONE GENAZZANO;4271,59912;3549,82;8129,337000000004;10282,059;13077,6809;20152,8;15,657;30;0;114;16;0;0;98;0;0;1999,3;157604,25;0,0;85,9649;0,0;3,0615421842300594;2795,6219;6732,239;4,717858449226387;1,9160758766047135;1594,649;0;SAFE;12288,301328423006;13882,950328423005
ADMIRAL;CAIANELLO CERASELLE;2012,003;1627,795;3821,986;4553,301499999998;6383,543999999999;41139,78;5,947;17;0;62;2;0;0;60;0;0;598,9;123327,12;0,0;96,7742;0,0;3,1727308557691014;1830,2425000000012;2925,5064999999977;20,447176271605958;2,858584160080713;1417,742;0;SAFE;12321,972060576909;13739,71406057691
ADMIRAL;CAMPI BISENZIO BARBERINESE;3306,68091;2922,285;5865,698;7174,125;10363,2218;26266,54;17,185;49;0;134;5;0;0;129;0;0;1991,2;183651,74;0,0;96,2687;0,0;3,1340253511186233;3189,0967999999993;4251,84;7,943475864443177;2,8513238289205707;1930,187;0;SAFE;11750,530505111863;13680,717505111863
ADMIRAL;NAPOLI VESPUCCI;3472,0048500000003;975,345;9402,12;10500,0;12505,9935;21504,54;3,95;14;0;39;5;0;0;34;0;0;2253,0;52238,53;0,0;87,1795;0,0;3,601951621697763;2005,9935000000005;9524,655;6,193695265143423;3,5443037974683542;1126,795;0;SAFE;12358,500562169778;13485,295562169778
ADMIRAL;PINETO LIVORNO;4371,7248;3806,09;8383,550000000001;9904,9415;12852,5446;16245,48;14,849;33;0;156;12;0;0;144;0;0;2686,4;134597,72;0,0;92,3077;0,0;2,93992535852211;2947,6030999999984;6098,851500000001;3,7160344585276732;2,222371876894067;2003,077;0;SAFE;11325,34175085221;13328,41875085221
ADMIRAL;PORTO VIRO ROSSINI;1237,92371;826,575;2046,453;2710,2514999999994;6874,850200000001;37534,32;5,245;16;0;92;3;0;0;89;0;0;574,6;416085,88;0,0;96,7391;0,0;5,553533020221416;4164,598700000001;1883,6764999999994;30,32038218251753;3,0505243088655862;1634,891;0;SAFE;11569,720257022143;13204,611257022143
ADMIRAL;TORRE DEL GRECO PALOMBA;730,4311700000001;507,30500000000006;1418,082;1660,3154999999986;2462,1034999999997;48634,52;5,004;13;0;66;2;0;0;64;0;0;242,45;96787,16;0,0;96,9697;0,0;3,3707536057093503;801,7880000000011;1153,0104999999985;66,58330311944381;2,5979216626698642;1449,6970000000001;0;SAFE;11528,899635570933;12978,596635570933
ADMIRAL;BRESCIA TRENTO;2149,0909;1984,885;3191,306;3473,0684999999994;4330,285099999999;42297,07;9,321;21;0;55;2;0;0;53;0;0;1209,95;129797,16;0,0;96,3636;0,0;2,0149380838195343;857,2165999999997;1488,1834999999994;19,681377832831547;2,252977148374638;1361,136;0;SAFE;11366,288973381954;12727,424973381954
ADMIRAL;PIACENZA I MAGGIO;705,64574;174,18;1380,95;1807,44;2637,4104;47324,46;1,279;6;0;16;0;0;0;16;0;0;390,0;176496,84;0,0;100,0;0,0;3,737584244468053;829,9704000000002;1633,26;67,06546545579656;4,691164972634871;1120,0;0;SAFE;11375,474584446805;12495,474584446805
ADMIRAL;ROMA CAPRANESI;3067,0382;2454,525;5292,440000000001;6290,871499999996;10106,501899999976;23338,46;9,462;23;0;101;5;0;0;96;0;0;885,0;79499,58;0,0;95,0495;0,0;3,2951992251025684;3815,63039999998;3836,3464999999956;7,609445490440908;2,4307757345170153;1670,495;0;SAFE;10727,530557510245;12398,025557510246
BBET;WWW.GAM-X.EU;295,07301;43,73;502,617;735,4774999999997;3449,7177;40615,25;9,083;19;0;34;4;0;0;30;0;0;89,8;55987,97;0,0;88,2353;0,0;11,691064865607329;2714,2402;691,7474999999997;137,64474765075937;2,0918198832984696;1107,353;0;SAFE;10950,912941560733;12058,265941560734
ADMIRAL;LA SPEZIA ADAMELLO;1033,81602;641,835;2589,912000000003;2845,775;3749,8655;32200,8;3,163;10;0;58;8;0;0;50;0;0;726,6;126267,94;0,0;86,2069;0,0;3,6272077695216987;904,0904999999998;2203,94;31,147515009488824;3,1615554852987673;1237,069;0;SAFE;9064,27072695217;10301,33972695217
ADMIRAL;FIDENZA PERTINI;2615,12296;2262,5550000000003;3791,721;4407,829999999998;6695,964199999999;23733,14;12,155;24;0;76;10;0;0;66;0;0;1003,6;113337,0;0,0;86,8421;0,0;2,560477768127583;2288,1342000000013;2145,274999999998;9,07534382245644;1,9744960921431511;1363,421;0;SAFE;8903,018956812757;10266,439956812757
