concessionario;nome_commerciale;num_ticket;ticket_calcolati;ticket_esclusi_incompatibili;ticket_compatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_incompatibili;somma_importo_pagato;somma_vincita_potenziale;somma_valore_atteso
BBET;WWW.GAM-X.EU;25;25;0;2;0;0;23;0;57,3;11994,609999999999;60,219293
ADMIRAL;MILANO POZZI;7;7;0;0;0;0;7;0;64,6;7919,4400000000005;57,015439
ADMIRAL;PARTANNA PALERMO;11;11;0;0;0;0;11;0;71,0;25423,59;53,429583
ADMIRAL;PALERMO FEDERICO;9;9;0;3;0;0;6;0;52,0;2174,6;51,999873
ADMIRAL;MILANO NOVARA;4;4;0;0;0;0;4;0;45,0;635,0;45,0
ADMIRAL;PIEVE EMANUELE PINI;4;4;0;0;0;0;4;0;41,0;1065,92;41,04964
ADMIRAL;GATTINARA MARCONI;7;7;0;1;0;0;6;0;37,0;1481,71;36,999881
ADMIRAL;RIGNANO FLAMINIO FLAMINIA;3;3;0;1;0;0;2;0;35,0;575,47;34,998967
ADMIRAL;TORINO SETTIMO;2;2;0;0;0;0;2;0;30,0;767,0;30,0
BBET;www.Q365.it;3;3;0;2;0;0;1;0;22,0;3593,2300000000005;23,19964
ADMIRAL;MONTESARCHIO SAN GIOVANNI;6;6;0;0;0;0;6;0;18,0;385,40999999999997;18,119951999999998
ADMIRAL;TORINO ALTESSANO;8;8;0;1;0;0;7;0;15,0;5710,28;16,489477
ADMIRAL;POGGIOMARINO LOSCO;12;12;0;1;0;0;11;0;12,5;71841,42;12,499869
ADMIRAL;AFRAGOLA ITALIA;1;1;0;0;0;0;1;0;5,0;250,0;5,0
