iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
401;14655;7;5666151,81
402;13267;7;6586406,69
403;12925;7;5380696,2
404;12574;7;4434762,75
405;12586;7;4603672,6
406;13204;7;4721712,85
407;12661;7;5333160,6
408;11793;7;4942976,06
409;13181;7;6630780,28
410;13258;7;5707666,78
411;13723;7;5273577,61
412;13998;7;5838519,52
413;13152;7;5361166,14
414;13415;7;4716919,39
415;11810;7;5821047,06
416;13533;7;5818320,98
417;14402;7;6455294,67
418;12827;7;4568425,56
419;12612;7;5677937,87
420;13416;7;4686184,49
421;12471;7;5558449,54
422;13040;7;4813266,5
423;14988;7;6241145,06
424;14642;7;7333008,28
425;12849;7;5036315,21
426;14321;7;4567848,16
427;12889;7;4972992,66
428;14958;7;6859270,98
429;14141;7;6651309,78
430;13892;7;5724797,75
431;13607;7;4824063,17
432;12706;7;4600451,76
433;13144;7;4963330,94
434;14063;7;6395623,83
435;13194;7;4840940,78
436;13417;7;4666200,92
437;13283;7;5592784,47
438;13838;7;5840581,61
439;14382;7;6703650,94
440;12952;7;4759698,84
441;14015;7;5589695,69
442;12784;7;4854504,67
443;13277;7;4605913,71
444;13563;7;5754138,46
445;12831;7;5658067,9
446;12852;7;5226301,67
447;14052;7;5478086,19
448;14457;7;6439915,96
449;13621;7;5146246,22
450;13712;7;5586945,16
451;13722;7;5309185,92
452;14892;7;5311449,99
453;12871;7;4847889,86
454;13064;7;4748748,82
455;13529;7;5631897,88
456;14112;7;4800343,69
457;13858;7;5517607,56
458;12315;7;5084222,29
459;13284;7;4854049,69
460;14631;7;6128244,3
461;12344;7;4703447,37
462;14084;7;7061478,43
463;13787;7;4646952,4
464;12944;7;5089551,85
465;12504;7;4953491,02
466;12419;7;5796007,56
467;14041;7;5416311,96
468;12865;7;5182705,34
469;14059;7;6100462,35
470;13317;7;6125449,41
471;13536;7;5162995,45
472;13180;7;5516495,37
473;13282;7;5271059,19
474;14261;7;5726746,17
475;12548;7;4124766,36
476;12804;7;5220259,98
477;13043;7;5299798,12
478;11676;7;4335290,74
479;13455;7;4534853,98
480;13548;7;5840050,9
481;13920;7;4500950,99
482;12561;7;5202340,94
483;12537;7;5088425,22
484;13489;7;6301111,07
485;14107;7;5984405,94
486;14728;7;5637645,11
487;14313;7;6501989,52
488;12916;7;4776777,41
489;12240;7;4370010,02
490;13410;7;4748317,99
491;13480;7;5494948,69
492;13096;7;4411259,87
493;15029;7;4961915,94
494;13193;7;5323321,42
495;13434;7;5590129,73
496;12302;7;6180627,79
497;14520;7;5555905,53
498;13307;7;6230537,87
499;13816;7;5406749,64
500;14117;7;5016632,38
501;13431;7;4581558,65
502;13690;7;5056638,32
503;13290;7;6267174,07
504;12346;7;4798037,83
505;13261;7;5039303,81
506;13269;7;4916982,5
507;13480;7;5526508,1
508;12426;7;5368070,36
509;13319;7;4811989,41
510;13702;7;6307484,12
511;13269;7;4923320,72
512;14552;7;6094075,32
513;13513;7;4696913,82
514;13067;7;5398828,99
515;13294;7;5240574,99
516;12988;7;5065472,08
517;12959;7;4606908,79
518;12580;7;4399053,83
519;12849;7;4564623,15
520;12625;7;4795572,87
521;12725;7;4814445,53
522;13658;7;5611573,73
523;13770;7;6481081,23
524;13000;7;5617845,62
525;13381;7;5792145,18
526;12717;7;5300061,32
527;12882;7;4423476,87
528;14288;7;5387756,64
529;15421;7;6423574,44
530;12123;7;5265249,73
531;13053;7;4220951,98
532;12968;7;5054693,06
533;14083;7;5471858,5
534;13889;7;4763112,39
535;12840;7;5605071,19
536;12804;7;4454194,52
537;12444;7;4896096,66
538;12829;7;4622330,37
539;13303;7;5394311,37
540;12537;7;3521981,9
541;12465;7;4366307,38
542;12268;7;5287173,82
543;12591;7;4268732,01
544;13746;7;5327206,36
545;11867;7;3679165,41
546;13686;7;5805396,31
547;12217;7;5484021,09
548;13765;7;4141633,63
549;12905;7;5257940,17
550;14261;7;5293309,85
551;13114;7;4978556,86
552;13380;7;5784039,12
553;13010;7;5237429,04
554;13244;7;5568682,68
555;14193;7;4697180,59
556;13241;7;5810491,54
557;13342;7;6012523,91
558;13675;7;4692749,98
559;13183;7;4826118,18
560;12514;7;4412748,38
561;14042;7;5205500,74
562;14304;7;5974185,7
563;13123;7;5980548,04
564;11974;7;5229051,51
565;14101;7;6037012,12
566;12852;7;5115787,94
567;12804;7;4566074,11
568;14535;7;5597587,25
569;13373;7;5968747,77
570;11882;7;4412950,77
571;12894;7;5492457,14
572;14272;7;6075359,56
573;13359;7;6047534,11
574;12747;7;5326777,24
575;14092;7;5312034,65
576;13144;7;4311997,37
577;13324;7;5982767,06
578;12453;7;4606131,73
579;13361;7;5870624,0
580;11809;7;4346798,83
581;14143;7;6684314,8
582;13507;7;5345609,89
583;13776;7;5935410,84
584;12698;7;4366363,1
585;12103;7;4667088,66
586;12628;7;4755664,62
587;13152;7;5926218,66
588;12913;7;5105937,39
589;14390;7;6769531,73
590;13767;7;5884494,78
591;13248;7;5824655,78
592;13879;7;5555723,68
593;13641;7;5416887,98
594;12900;7;5444392,04
595;13544;7;5487492,7
596;13102;7;5809789,16
597;13523;7;5146942,28
598;14751;7;6497688,8
599;12804;7;6181246,96
600;13183;7;6032037,15
601;13557;7;5141808,73
602;14360;7;5342066,33
603;11581;7;4406578,16
604;12828;7;4626755,44
605;13117;7;5169617,17
606;12637;7;4481100,68
607;12979;7;5928055,72
608;13322;7;5582483,55
609;13787;7;5336928,35
610;12696;7;5099496,17
611;13601;7;4738212,28
612;14274;7;6528450,82
613;14610;7;6315568,02
614;13740;7;6385979,95
615;13110;7;4741140,31
616;13717;7;5496715,46
617;13322;7;6253791,69
618;12828;7;5281758,47
619;14055;7;6179890,16
620;13498;7;4924119,13
621;13466;7;7075621,29
622;13193;7;5802985,9
623;12397;7;4381553,24
624;13799;7;5598818,48
625;14300;7;5399180,11
626;13512;7;5529769,75
627;14302;7;5880342,18
628;12600;7;5064616,99
629;13679;7;5698051,03
630;12385;7;5301331,37
631;12132;7;4047755,47
632;13111;7;5907017,67
633;13291;7;5084338,25
634;13196;7;4804084,95
635;12078;7;5161004,96
636;13757;7;6808311,32
637;12189;7;5261812,16
638;13209;7;5455045,79
639;11999;7;4527260,96
640;13888;7;5456559,48
641;13373;7;6333785,52
642;13248;7;4888682,49
643;12645;7;4874923,92
644;12670;7;5634455,1
645;13715;7;4528553,2
646;14100;7;6239242,3
647;12717;7;4872199,19
648;14130;7;6099585,06
649;12655;7;5485290,41
650;12549;7;4642234,85
651;13689;7;4600160,36
652;14162;7;5358165,55
653;13079;7;5251046,32
654;13247;7;4355119,84
655;13336;7;5663211,41
656;13939;7;5106960,1
657;13859;7;5256274,38
658;13987;7;4710568,1
659;12931;7;6130726,19
660;13412;7;4896450,97
661;13422;7;5231686,96
662;13515;7;6024561,33
663;13273;7;5186980,72
664;13158;7;4889958,06
665;12304;7;4602821,21
666;14467;7;5610030,29
667;13728;7;4779868,43
668;13524;7;5029578,5
669;14326;7;5654008,6
670;13864;7;5633059,7
671;12325;7;4194783,83
672;12483;7;4383051,32
673;13827;7;5311882,61
674;14243;7;5586482,23
675;12333;7;4434572,96
676;12864;7;4900511,98
677;13369;7;4558968,87
678;13542;7;5255383,93
679;12754;7;4790647,01
680;13121;7;5313959,43
681;13020;7;5478508,59
682;13927;7;5608290,54
683;12473;7;4337292,1
684;13339;7;6850037,67
685;13192;7;5866559,55
686;13386;7;4449136,68
687;11912;7;4184283,64
688;12333;7;5083221,53
689;12569;7;5840123,35
690;14330;7;6481288,18
691;14088;7;5292240,93
692;12579;7;5757919,24
693;13378;7;5966357,78
694;12085;7;5127224,78
695;13387;7;6053198,64
696;12229;7;4361094,43
697;13359;7;5886547,85
698;14799;7;6825746,91
699;14920;7;6517861,18
700;13817;7;4774669,45
701;13040;7;5371393,83
702;14258;7;5593058,81
703;13071;7;5291522,51
704;13383;7;4922949,45
705;14023;7;5480942,1
706;13558;7;5562450,08
707;13699;7;5256255,38
708;12947;7;4629260,84
709;14116;7;6149482,39
710;12833;7;4714517,89
711;12619;7;4712559,47
712;13293;7;4847975,75
713;12685;7;3963314,58
714;13004;7;6355899,13
715;13397;7;5475609,6
716;13673;7;5578686,24
717;13338;7;5003270,29
718;13093;7;5804102,56
719;13854;7;5443762,35
720;12589;7;4903875,04
721;15042;7;5670699,11
722;12869;7;5165972,7
723;12228;7;4611187,0
724;12485;7;4668279,43
725;13215;7;5344965,02
726;14653;7;5726807,61
727;13044;7;5377486,31
728;13177;7;4600594,91
729;12402;7;4384266,11
730;13895;7;5055645,87
731;13586;7;5746301,89
732;13720;7;5445588,57
733;12302;7;4986479,81
734;11983;7;4370020,98
735;12408;7;4448545,69
736;14691;7;6391917,53
737;13564;7;5197815,69
738;14167;7;5839328,72
739;13650;7;5449241,91
740;13535;7;5496791,73
741;13494;7;4530594,33
742;12982;7;5164389,81
743;13654;7;5140172,76
744;12911;7;4818068,35
745;13065;7;5180346,55
746;11924;7;4538846,04
747;13949;7;5381178,55
748;14450;7;6887253,04
749;13842;7;4802702,27
750;12499;7;5412355,89
751;13765;7;6525855,83
752;12672;7;5600648,08
753;13353;7;5428860,67
754;12613;7;5157232,04
755;13725;7;5596465,55
756;14354;7;6141074,2
757;12854;7;4872226,6
758;14485;7;6231865,31
759;15274;7;6027527,63
760;14423;7;6030083,37
761;13733;7;5272423,33
762;13308;7;5606253,93
763;13707;7;5570084,44
764;13789;7;6558972,16
765;13517;7;5628484,29
766;13421;7;6057033,35
767;12502;7;4725569,07
768;13685;7;5406720,25
769;13370;7;6012555,47
770;12113;7;3912289,97
771;13605;7;5827241,08
772;13440;7;5767807,53
773;13287;7;5342001,84
774;13776;7;5557321,0
775;12944;7;5648537,97
776;13772;7;4825255,45
777;13437;7;5189445,03
778;13335;7;5258590,27
779;15269;7;5797704,27
780;12968;7;6091918,86
781;12680;7;4469061,61
782;14194;7;5542790,45
783;14119;7;5869004,58
784;14037;7;5289739,95
785;12368;7;4940822,32
786;13923;7;5837686,41
787;13648;7;5724063,36
788;13298;7;5685432,0
789;12095;7;3952118,36
790;12607;7;4738313,89
791;14459;7;5568389,35
792;13495;7;5004102,33
793;12398;7;4125594,62
794;14647;7;5784733,43
795;13557;7;6195507,17
796;13748;7;5341235,2
797;13331;7;4384314,03
798;13834;7;4842238,57
799;12850;7;4489014,49
800;12675;7;4887979,39
801;13300;7;5886139,42
802;12944;7;5228371,17
803;13194;7;4702309,73
804;14361;7;5180579,21
805;13585;7;6264147,04
806;12536;7;5080542,55
807;13062;7;4763431,82
808;13265;7;4443559,62
809;14563;7;5251484,75
810;13127;7;5698665,22
811;13844;7;5032438,39
812;13178;7;5296493,39
813;13438;7;5530815,13
814;13242;7;5380433,36
815;13472;7;5893372,63
816;11887;7;5462777,92
817;13062;7;5757411,55
818;13833;7;5625535,4
819;13649;7;6078712,24
820;13768;7;5190416,47
821;13717;7;6268321,26
822;14048;7;5724275,58
