concessionario;nome_commerciale;id_evento;evento_descrizione;quota_media;quota_min;quota_max;prob_implicita_media;num_ticket_coinvolti;num_righe_evento;importo_pagato_esposto;payout_potenziale_esposto;payout_potenziale_massimo_ticket;ticket_esclusi_montecarlo;ticket_incompatibili;ticket_correlati;ticket_misti;ticket_non_mappati;ticket_compatibili;righe_esito_mappato;righe_esito_non_mappato;num_famiglie_matrice;num_esiti_matrice;payout_incompatibile;payout_non_mappato;payout_misto;payout_correlato;impatto_atteso_stimato;impatto_compatibilita_stimato;pct_ticket_esclusi_montecarlo;pct_ticket_non_mappati;pct_righe_esito_non_mappato;peso_pct_su_nome_commerciale;peso_pct_su_concessionario
ADMIRAL;RIMINI ITALIA;E3911;CALCIO | INGHILTERRA - I DIVISIONE | Arsenal - Coventry City | ESITO FINALE 1X2 | 1;1,16675;1,16;1,17;0,857095;40;40;78,0;377262,05;46098,91;0;0;0;0;37;3;40;0;1;1;0,0;372848,07;0,0;0,0;323349,601873;74569,614;0,0;92,5;0,0;0,89534;0,126282
ADMIRAL;RIMINI ITALIA;E3343;CALCIO | GERMANIA - I DIVISIONE | Borussia Dortmund - Amburgo | ESITO FINALE 1X2 | 1;1,330513;1,32;1,35;0,751614;39;39;60,2;367722,92;42759,61;0;0;0;0;37;2;39;0;1;1;0,0;364420,18;0,0;0,0;276385,532491;72884,036;0,0;94,871795;0,0;0,872702;0,123089
ADMIRAL;FAENZA MENGOLINA;E3937;CALCIO | INGHILTERRA - I DIVISIONE | Arsenal - Coventry City | U/O | OVER;1,531818;1,53;1,55;0,652828;11;11;24,0;366717,13;49386,25;0;0;0;0;11;0;0;11;0;0;0,0;366717,13;0,0;0,0;239403,243973;73343,426;0,0;100,0;100,0;1,803007;0,122752
BBET;WWW.BBET.EU;E12863;CALCIO | ITALIA - I DIVISIONE | Frosinone Calcio - Juventus | 1X2 | 2;1,485;1,46;1,52;0,673495;152;152;602,65;776489,38;50000,0;0;0;0;0;94;58;152;0;1;1;0,0;531835,43;0,0;0,0;522961,521544;106367,086;0,0;61,842105;0,0;2,006992;0,824445
BBET;WWW.BBET.EU;E12943;CALCIO | ITALIA - I DIVISIONE | Inter - AC Monza | 1X2 | 1;1,231404;1,19;1,24;0,812124;178;178;945,9;667180,33;50000,0;0;0;0;0;116;62;178;0;1;1;0,0;428738,79;0,0;0,0;541833,11939;85747,758;0,0;65,168539;0,0;1,724461;0,708385
BBET;WWW.BBET.EU;E14292;CALCIO | SPAGNA - I DIVISIONE | Atletico Madrid - CF Malaga | 1X2 | 1;1,306636;1,24;1,35;0,76546;107;107;558,1;583347,38;50000,0;0;0;0;0;71;36;107;0;1;1;0,0;463228,2;0,0;0,0;446528,855499;92645,64;0,0;66,35514;0,0;1,507778;0,619375
BBET;WWW.BBET.EU;E11050;CALCIO | GERMANIA - I DIVISIONE | Bayern Monaco - Stoccarda | 1X2 | 1;1,305;1,24;1,31;0,76635;72;72;379,0;477649,06;50000,0;0;0;0;0;44;28;72;0;1;1;0,0;374793,75;0,0;0,0;366046,367234;74958,75;0,0;61,111111;0,0;1,234579;0,507148
BBET;WWW.BBET.EU;E10947;CALCIO | FRANCIA - I DIVISIONE | Paris Saint-Germain - Stade Rennes FC | 1X2 | 1;1,412361;1,37;1,44;0,708084;72;72;307,85;451046,88;50000,0;0;0;0;0;48;24;72;0;1;1;0,0;324100,25;0,0;0,0;319379,244972;64820,05;0,0;66,666667;0,0;1,165821;0,478903
BBET;WWW.BBET.EU;E12893;CALCIO | ITALIA - I DIVISIONE | Genoa - Napoli | 1X2 | 2;1,849775;1,55;1,88;0,540967;89;89;360,55;371327,87;48499,93;0;0;0;0;49;40;89;0;1;1;0,0;227279,72;0,0;0,0;200876,170264;45455,944;0,0;55,05618;0,0;0,959771;0,394261
BBET;WWW.BBET.EU;E11623;CALCIO | INGHILTERRA - I DIVISIONE | Manchester City - Bournemouth | 1X2 | 1;1,465065;1,43;1,49;0,682605;77;77;421,5;366348,38;49900,2;0;0;0;0;49;28;77;0;1;1;0,0;263956,22;0,0;0,0;250071,0907;52791,244;0,0;63,636364;0,0;0,946901;0,388974
BBET;WWW.BBET.EU;E11568;CALCIO | INGHILTERRA - I DIVISIONE | Hull City - Manchester United | 1X2 | 2;1,436857;1,37;1,48;0,696247;70;70;330,4;360413,13;42922,91;0;0;0;0;47;23;70;0;1;1;0,0;266272,79;0,0;0,0;250936,670635;53254,558;0,0;67,142857;0,0;0,93156;0,382672
